"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 16:31:34 GMT-03:00 2022","Fri Nov 18 16:31:34 GMT-03:00 2022","161","","Contato","","","","GET - Listar Todos Os Contatos",""
"failed","Fri Nov 18 16:32:37 GMT-03:00 2022","Fri Nov 18 16:32:42 GMT-03:00 2022","5122","","Pessoa","","","","GET, Lista Com Endereco Pessoa Inexistente",""
"passed","Fri Nov 18 16:28:03 GMT-03:00 2022","Fri Nov 18 16:28:03 GMT-03:00 2022","180","","Contrato Pessoa","","","","Contrato - Validar contrato buscarPorNome",""
"failed","Fri Nov 18 16:31:44 GMT-03:00 2022","Fri Nov 18 16:31:49 GMT-03:00 2022","4535","","Endereco","","","","POST - Adicionar Novo Endereco em Pessoa Inexistente",""
"passed","Fri Nov 18 16:31:49 GMT-03:00 2022","Fri Nov 18 16:31:50 GMT-03:00 2022","453","","Endereco","","","","DELETE - Deletar Endereco Inexistente",""
"failed","Fri Nov 18 16:33:00 GMT-03:00 2022","Fri Nov 18 16:33:01 GMT-03:00 2022","739","","Contrato Contato","","","","Contrato - Buscar Contato por Id Pessoa",""
"passed","Fri Nov 18 16:32:42 GMT-03:00 2022","Fri Nov 18 16:32:43 GMT-03:00 2022","829","","Pessoa","","","","GET, Lista Com Contatos Pessoa",""
"passed","Fri Nov 18 16:31:52 GMT-03:00 2022","Fri Nov 18 16:31:52 GMT-03:00 2022","136","","Endereco","","","","GET - Listar Endereco Por Id Pessoa Inexistente",""
"passed","Fri Nov 18 16:31:50 GMT-03:00 2022","Fri Nov 18 16:31:50 GMT-03:00 2022","135","","Endereco","","","","GET - Listar Enderecos com Tamanho de Paginas Invalido",""
"passed","Fri Nov 18 16:31:31 GMT-03:00 2022","Fri Nov 18 16:31:32 GMT-03:00 2022","288","","Contato","","","","POST - Adicionar Novo Contato",""
"passed","Fri Nov 18 16:31:50 GMT-03:00 2022","Fri Nov 18 16:31:50 GMT-03:00 2022","137","","Endereco","","","","PUT - Atualizar Endereco Inexistente",""
"failed","Fri Nov 18 16:28:01 GMT-03:00 2022","Fri Nov 18 16:28:02 GMT-03:00 2022","457","","Contrato Pessoa","","","","Contrato - Validar contrato atualizarPessoa",""
"passed","Fri Nov 18 16:31:50 GMT-03:00 2022","Fri Nov 18 16:31:50 GMT-03:00 2022","469","","Endereco","","","","PUT - Atualizar Endereco Existente",""
"passed","Fri Nov 18 16:27:56 GMT-03:00 2022","Fri Nov 18 16:27:56 GMT-03:00 2022","132","","Contrato Endereco","","","","Contrato - Lista Endereco Por Id Pessoa",""
